t_ms,P_mmHg
5,0.0000000000
5.05,1.6506598799
5.1,2.6717557252
5.15,3.1382527566
5.2,3.6471586090
5.25,3.6471586090
5.3,4.4953350297
5.35,4.4953350297
5.4,5.5131467345
5.45,6.4461407973
5.5,6.5309584394
5.55,7.4639525021
5.6,8.5241730280
5.65,9.5843935539
5.7,9.6692111959
5.75,10.6022052587
5.8,10.6870229008
5.85,11.6200169635
5.9,11.6200169635
5.95,12.6378286684
6,12.6378286684
6.05,13.5708227311
6.1,13.5708227311
6.15,14.4189991518
6.2,14.4189991518
6.25,14.4189991518
6.3,15.4368108567
6.35,15.4368108567
6.4,15.8184902460
6.45,16.2849872774
6.5,17.3876166243
6.55,17.3876166243
6.6,17.3876166243
6.65,18.3206106870
6.7,18.3206106870
6.75,19.3384223919
6.8,19.3384223919
6.85,19.7625106022
6.9,20.2714164546
6.95,20.2714164546
7,21.2892281595
7.05,21.2892281595
7.1,21.2892281595
7.15,22.1374045802
7.2,22.1374045802
7.25,23.2400339271
7.3,23.2400339271
7.35,24.2578456319
7.4,24.2578456319
7.45,25.3604749788
7.5,25.3604749788
7.55,25.3604749788
7.6,26.2086513995
7.65,26.2086513995
7.7,27.3112807464
7.75,27.3112807464
7.8,28.3290924512
7.85,28.3290924512
7.9,28.3290924512
7.95,29.3469041561
8,29.3469041561
8.05,30.3647158609
8.1,30.3647158609
8.15,31.3825275657
8.2,31.3825275657
8.25,32.4003392706
8.3,32.4003392706
8.35,32.4003392706
8.4,33.4181509754
8.45,33.4181509754
8.5,34.4359626802
8.55,34.4359626802
8.6,34.4359626802
8.65,35.3689567430
8.7,35.3689567430
8.75,36.3867684478
8.8,36.3867684478
8.85,37.4045801527
8.9,37.4045801527
8.95,38.4223918575
9,38.4223918575
9.05,38.4223918575
9.1,39.4402035623
9.15,39.5250212044
9.2,40.4580152672
9.25,40.4580152672
9.3,41.5606446141
9.35,41.5606446141
9.4,42.4936386768
9.45,42.4936386768
9.5,43.5962680237
9.55,43.5962680237
9.6,43.5962680237
9.65,44.5292620865
9.7,44.5292620865
9.75,45.6318914334
9.8,45.6318914334
9.85,46.6497031383
9.9,46.6497031383
9.95,46.8471692112
10,47.5614927905
10.05,48.2758163698
10.1,48.6005089059
10.15,48.6005089059
10.2,49.1942324003
10.25,49.1942324003
10.3,50.8905852417
10.35,50.8905852417
10.4,50.8905852417
10.45,51.7387616624
